Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
DDOG;963381;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;310247000;310247000;-50160000;34629000;427545000;6393000;;;;;418407000;-35261000;-273903000;-45878000;-384670000;;-3000;36026000;36023000;67825000
DDS;949971;USD;2018;FY;2019-01-31;2019-03-29;2021-03-29;27312000;27312000;170263000;225849000;382000;-29206000;;;;;367288000;-135061000;;;-127749000;-11108000;-162066000;-129884000;-303058000;-63519000
DDS;949971;USD;2019;FY;2020-01-31;2020-03-31;2022-03-29;25364000;25364000;111081000;224309000;-25311000;54995000;;;;;365074000;-72803000;;;-68092000;-11520000;-966000;-130928000;-143414000;153568000
DDS;949971;USD;2020;FY;2021-01-31;2021-03-29;2023-03-27;22697000;22697000;-71654000;216315000;-3846000;112131000;;;;;252946000;-58915000;;;-48380000;-13976000;-4449000;-102879000;-121304000;83262000
DDS;949971;USD;2021;FY;2022-01-31;2022-03-29;2024-03-29;22697000;22697000;862473000;201435000;-29306000;242516000;;;;;1277118000;-75064000;;;-66886000;-305240000;-695000;-544868000;-853812000;356420000
DDS;949971;USD;2022;FY;2023-01-31;2023-03-27;2024-03-29;20600000;20600000;891637000;190030000;-39712000;-93564000;;;;;948391000;-95043000;;;-235853000;-271313000;-44800000;-452853000;-768966000;-56428000
DE;373449;USD;2018;FY;2018-10-31;2018-12-17;2020-12-17;322600000;327300000;2371000000;1927000000;1603000000;-4079000000;-1531000000;-1772000000;;-776000000;1822000000;587000000;-57000000;-5089000000;-8176000000;-806000000;2516000000;-741000000;876000000;-5452000000
DE;373449;USD;2019;FY;2019-10-31;2019-12-19;2021-12-16;316500000;320600000;3257000000;2019000000;-249000000;-1615000000;-869000000;-780000000;;34000000;3412000000;528000000;-51000000;93000000;-3924000000;-943000000;2643000000;-1075000000;509000000;-59000000
DE;373449;USD;2020;FY;2020-10-31;2020-12-17;2022-12-15;313500000;316600000;2753000000;2118000000;398000000;2214000000;;;;;7483000000;963000000;;-66000000;-3319000000;-956000000;528000000;-419000000;-980000000;3216000000
DE;373449;USD;2021;FY;2021-10-31;2021-12-16;2023-12-15;309100000;311500000;5965000000;2050000000;-315000000;26000000;;;;;7726000000;1246000000;;-244000000;-5750000000;-1040000000;2450000000;-2538000000;-1078000000;953000000
DE;373449;USD;2022;FY;2022-10-31;2022-12-15;2023-12-15;311600000;314000000;7130000000;1895000000;-27000000;-4299000000;;;;;4699000000;959000000;;-498000000;-8485000000;-1313000000;5765000000;-3597000000;826000000;-3184000000
DEA;949499;USD;2018;FY;2018-12-31;2019-02-28;2021-02-24;53511137;54931380;6659000;66403000;-10188000;-92000;;;;;62782000;-466743000;;;-466743000;-65956000;181811000;297805000;398865000;-5096000
DEA;949499;USD;2019;FY;2019-12-31;2020-02-25;2022-02-28;68769526;69208966;8224000;92439000;-9606000;51258000;;;;;142315000;-442341000;;;-442341000;-81894000;136859000;258556000;304470000;4444000
DEA;949499;USD;2020;FY;2020-12-31;2021-02-24;2023-02-28;78219491;78791453;13528000;93803000;-2358000;40224000;;;;;145197000;-290175000;;;-290175000;-91748000;75686000;162023000;144098000;-880000
DEA;949499;USD;2021;FY;2021-12-31;2022-02-28;2024-02-27;83961693;84472257;33957000;86677000;-4254000;2316000;;;;;118696000;-16800000;;-131568000;-363042000;-99994000;180665000;175929000;249820000;5474000
DEA;949499;USD;2022;FY;2022-12-31;2023-02-28;2024-02-27;90613966;90948701;35562000;95149000;-9305000;-1300000;;;;;120106000;167498000;;-143847000;-62669000;-109176000;39502000;9504000;-60306000;-2869000
DECK;1054410;USD;2018;FY;2019-03-31;2019-05-30;2021-05-28;29641000;29903000;264308000;44941000;25215000;25041000;;;;;359505000;-29018000;;;-29018000;;-198000;-160370000;-167193000;159722000
DECK;1054410;USD;2019;FY;2020-03-31;2020-06-01;2022-05-27;28385000;28694000;276142000;38912000;22267000;-50987000;;;;;286334000;-31964000;;;-31964000;;-464000;-185502000;-192114000;59744000
DECK;1054410;USD;2020;FY;2021-03-31;2021-05-28;2023-05-26;28055000;28406000;382575000;40530000;36738000;136374000;;;;;596217000;-32169000;;;-32169000;;-31279000;-90870000;-129581000;439925000
DECK;1054410;USD;2021;FY;2022-03-31;2022-05-27;2023-05-26;27508000;27789000;451949000;42878000;3523000;-325997000;;;;;172353000;-51009000;;;-51009000;;;-353458000;-367482000;-245834000
DECK;1054410;USD;2022;FY;2023-03-31;2023-05-26;2023-05-26;26504000;26686000;516822000;47858000;27044000;-54302000;;;;;537422000;-81013000;;;-81013000;;-1537000;-290806000;-309031000;138268000
DEI;1057794;USD;2018;FY;2018-12-31;2019-02-15;2021-02-22;169893000;169902000;128612000;309864000;274000;-5768000;;;;;432982000;-247521000;;-9379000;-249551000;-169831000;8682000;-108000;-213849000;-30418000
DEI;1057794;USD;2019;FY;2019-12-31;2020-02-14;2022-02-18;173358000;173358000;418698000;357743000;-301766000;-5089000;;;;;469586000;-603993000;;-90754000;-649668000;-179667000;67934000;200249000;187538000;7456000
DEI;1057794;USD;2020;FY;2020-12-31;2021-02-22;2023-02-17;175380000;175380000;38553000;385248000;10244000;-13827000;;;;;420218000;-297598000;20658000;-6591000;-265175000;-196333000;120402000;-7000;-136330000;18713000
DEI;1057794;USD;2021;FY;2021-12-31;2022-02-18;2024-02-16;175480000;175480000;56131000;371289000;21893000;-3305000;;;;;446008000;-293091000;;;-300162000;-196529000;269213000;-122000;17643000;163489000
DEI;1057794;USD;2022;FY;2022-12-31;2023-02-17;2024-02-16;175478000;175478000;96540000;372798000;16198000;10128000;;;;;495664000;-568588000;;;-561317000;-196805000;174177000;-337000;-1415000;-67068000
DELL;59180;USD;2018;FY;2019-01-31;2019-03-29;2021-03-26;392627000;392627000;-2181000000;7746000000;343000000;1083000000;;;;;6991000000;-1497000000;5687000000;-841000000;3389000000;-2134000000;1594000000;-13685000000;-14329000000;-4138000000
DELL;59180;USD;2019;FY;2020-01-31;2020-03-27;2022-03-24;1460020000;1489615000;5529000000;6143000000;-4139000000;1758000000;;;;;9291000000;-2576000000;316000000;-2466000000;-4686000000;;-1636000000;-2897000000;-4604000000;-89000000
DELL;59180;USD;2020;FY;2021-01-31;2021-03-26;2023-03-30;1463966000;1507372000;3505000000;5390000000;1122000000;1390000000;-396000000;-243000000;1598000000;431000000;11407000000;-2082000000;-169000000;1763000000;-460000000;;-4528000000;-1152000000;-5950000000;5033000000
DELL;59180;USD;2021;FY;2022-01-31;2022-03-24;2024-03-25;744000000;767000000;5707000000;4551000000;-1873000000;1922000000;;;;;10307000000;-2796000000;99000000;3941000000;1306000000;;-6298000000;-1504000000;-16609000000;-5102000000
DELL;59180;USD;2022;FY;2023-01-31;2023-03-30;2024-03-25;744000000;767000000;2422000000;3156000000;1175000000;-3188000000;;;;;3565000000;-3003000000;8000000;-70000000;-3024000000;-964000000;2654000000;-3276000000;-1625000000;-1188000000
DEN;919129;USD;2018;FY;2018-12-31;2019-03-01;2021-03-05;432483000;456169000;322698000;216449000;-79629000;70167000;;;;;529685000;-314763000;;;-333276000;;-48300000;;-157452000;38957000
DEN;919129;USD;2019;FY;2019-12-31;2020-02-27;2022-02-25;459524000;510341000;-1432578000;188593000;1375189000;-17796000;;;;;113408000;-58260000;;;-57114000;;74037000;;5775000;62069000
DEN;919129;USD;2020;FY;2020-12-31;2021-03-05;2023-02-23;50319000;50319000;-50658000;45812000;88103000;-42931000;;;;;40326000;-17108000;;;-1884000;;-92938000;;-91308000;-52866000
DEN;919129;USD;2021;FY;2021-12-31;2022-02-25;2023-02-23;51094000;54714000;56002000;150640000;105473000;5043000;;;;;317158000;-142837000;;;-202932000;;-103008000;;-106130000;8096000
DEN;919129;USD;2022;FY;2022-12-31;2023-02-23;2023-02-23;51427000;54355000;480160000;151428000;-62906000;-47937000;;;;;520745000;-317833000;-10218000;;-427930000;;-6000000;-100028000;-95279000;-2464000
DENN;986862;USD;2018;FY;2018-12-31;2019-02-24;2021-03-01;63364000;65562000;43693000;27039000;15399000;-12441000;;;;;73690000;-22025000;-1700000;-10416000;-32017000;;24319000;-60012000;-41630000;43000
DENN;986862;USD;2019;FY;2019-12-31;2020-02-24;2022-02-28;59944000;61833000;117410000;19846000;-70992000;-22937000;;;;;43327000;104426000;-1760000;;104969000;;-48964000;-93488000;-149950000;-1654000
DENN;986862;USD;2020;FY;2020-12-31;2021-03-01;2023-02-27;60812000;60812000;-5116000;16161000;9509000;-23691000;;;;;-3137000;2436000;1500000;;4651000;;-31570000;33990000;-994000;520000
DENN;986862;USD;2021;FY;2021-12-31;2022-02-28;2024-02-26;65447000;65829000;78073000;15446000;-35463000;18117000;;;;;76173000;-17724000;-300000;;29014000;;-42118000;-29843000;-78455000;26732000
DENN;986862;USD;2022;FY;2022-12-31;2023-02-27;2024-02-26;65171000;65573000;74712000;14862000;-28414000;-21708000;;;;;39452000;-95094000;500000;;-86596000;;89480000;-64975000;20043000;-27101000
DESTQ;175862;USD;2018;FY;2019-02-28;2019-04-16;2019-04-16;13889000;13889000;-14327000;15505000;5233000;-8222000;;;;;-1811000;-4612000;;;-4612000;;6715000;1000;5946000;-481000
DEVV;658900;USD;2018;FY;2018-12-31;2019-04-09;2019-04-09;242516;242516;-73538;;-1088;26526;;;;;-48100;45814;;0;45814;;798;;798;-1488
DEVV;658900;USD;2019;FY;2019-12-31;2020-03-30;2020-03-30;6371283;6371283;-626046;;137312;451594;;;;;-37140;;;;0;;37140;;37140;0
DFCO;1077526;USD;2018;FY;2018-06-30;2019-01-30;2020-01-30;47281128;47281128;-1037221;;;1005238;;;;;-31983;;;;;;;;37469;5486
DFCO;1077526;USD;2019;FY;2019-06-30;2020-01-30;2020-10-15;47429073;102576132;365850;;;-1188242;;;;;-822392;-5500;;;-5500;;823369;;823369;-4523
DFCO;1077526;USD;2020;FY;2020-06-30;2020-10-15;2021-10-13;56801796;56801796;-2477557;46602;1672554;-1634045;;;;;-2392446;-194073;;206987;12914;;2463056;;2463056;74202
DFCO;1077526;USD;2021;FY;2021-06-30;2021-10-13;2022-11-01;70318073;128946367;1221;141388;-8216879;2490481;;;;;-5583789;-357961;;-27869;-385830;;5964554;;5964554;-5065
DFCO;1077526;USD;2022;FY;2022-06-30;2022-11-01;2023-10-19;72217851;72217851;-11571783;323018;5043407;-4144450;;;;;-10349808;-882247;;308207;-574040;;13803719;-14826;11668585;744737
DFH;11795084;USD;2019;FY;2019-12-31;2020-03-29;2022-03-16;91081482;91081482;44897784;3035451;2143172;-19647658;;;;;30428749;-2800733;;-13006396;-17820019;;29180399;;26077223;38685953
DFH;11795084;USD;2020;FY;2020-12-31;2021-03-30;2023-03-02;91081482;91081482;84513000;4010000;5462000;2926000;;;;;96911000;-2682000;;-16923000;-13027000;-17257000;-29472000;;-65830000;18054000
DFH;11795084;USD;2021;FY;2021-12-31;2022-03-16;2024-02-29;92521482;95313593;134594000;6065000;19328000;-95015000;;;;;64972000;-2266000;;-521445000;-523043000;-46608000;446901000;292130000;646020000;187949000
DFH;11795084;USD;2022;FY;2022-12-31;2023-03-02;2024-02-29;92745781;106691248;274297000;11252000;20934000;-334106000;;;;;-27623000;-5393000;;-580000;-5524000;-36783000;202956000;;146955000;113808000
DFIN;6767673;USD;2018;FY;2018-12-31;2019-02-27;2021-02-25;33800000;34000000;73600000;45800000;-43700000;-9400000;;;;;66300000;-37100000;3100000;65000000;30200000;;-97500000;-300000;-99000000;-4700000
DFIN;6767673;USD;2019;FY;2019-12-31;2020-02-26;2022-02-22;34100000;34300000;37600000;49600000;19900000;-52600000;;;;;54500000;-14200000;10500000;-8500000;-12200000;;-72500000;-1800000;-74500000;-30100000
DFIN;6767673;USD;2020;FY;2020-12-31;2021-02-25;2023-02-21;33900000;33900000;-25900000;50900000;71700000;57500000;;;;;154200000;-31100000;11600000;;-19800000;;-63800000;-11800000;-77500000;56400000
DFIN;6767673;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;33500000;35200000;145900000;40300000;47700000;-53900000;;;;;180000000;-42300000;;-3600000;-45000000;;-112800000;-40900000;-154900000;-19100000
DFIN;6767673;USD;2022;FY;2022-12-31;2023-02-21;2024-02-20;30800000;32300000;102500000;46300000;44600000;-43200000;;;;;150200000;-54200000;;3300000;-50900000;;45000000;-164700000;-121100000;-20300000
DFNS;11795108;USD;2019;FY;2019-12-31;2020-03-19;2021-05-11;99305000;;-1079160;;822592;-13055;;;;;-269623;;-172500000;;-172500000;;5200000;;173790839;1021216
DFNS;11795108;USD;2020;FY;2020-12-31;2021-03-04;2021-05-11;99305000;;-8829688;;8189748;165137;;;;;-474803;;;;243084;;;;;-231719
DFODQ;824643;USD;2018;FY;2018-12-31;2019-02-28;2019-02-28;91327846;91327846;-327358000;156027000;200982000;123311000;;;;;152962000;-95900000;;-13324000;-109224000;-27405000;-8668000;-1000;-36074000;7664000
DFODQ;824643;USD;2019;FY;2019-12-31;2020-03-20;2020-03-20;91777119;91777119;-500804000;153222000;314879000;-14633000;;;;;-47336000;-83415000;;0;-83415000;0;187039000;-453000;186586000;55835000
DFPH;11795216;USD;2020;FY;2020-12-31;2021-03-30;2022-03-11;28750000;28750000;-14322000;3178000;10660000;992000;;;;;508000;-1194000;;-150000;-8844000;;12181000;50000;11888000;3552000
DFPH;11795216;USD;2021;FY;2021-12-31;2022-03-11;2023-03-16;28750000;28750000;-10927000;3341000;-10605000;-14489000;;;;;-32680000;-3047000;;-9107000;-12154000;;-7251000;;154010000;109176000
DG;80798;USD;2018;FY;2019-01-31;2019-03-22;2021-03-19;265155000;266105000;1589472000;454134000;136074000;-36130000;;-521342000;375214000;109998000;2143550000;-731603000;;;-731603000;-306523000;-145510000;-1007494000;-1443901000;-31954000
DG;80798;USD;2019;FY;2020-01-31;2020-03-19;2022-03-18;256553000;258053000;1712555000;504804000;112289000;-91650000;;-578783000;428627000;58506000;2237998000;-782485000;;;-782485000;-327568000;55160000;-1200376000;-1450680000;4833000
DG;80798;USD;2020;FY;2021-01-31;2021-03-19;2023-03-24;248171000;250076000;2655050000;574237000;115155000;531717000;;;;;3876159000;-1024910000;;;-1024910000;-355926000;1050901000;-2466434000;-1714992000;1136257000
DG;80798;USD;2021;FY;2022-01-31;2022-03-18;2024-03-25;234261000;235812000;2399232000;641316000;383577000;-558314000;;;;;2865811000;-1065557000;;;-1065557000;-392188000;45630000;-2549669000;-2832002000;-1031748000
DG;80798;USD;2022;FY;2023-01-31;2023-03-24;2024-03-25;225148000;226297000;2415989000;724877000;838541000;-1994852000;;;;;1984555000;-1555346000;;;-1555346000;-493726000;2815398000;-2748014000;-392462000;36747000
DGII;6767763;USD;2018;FY;2018-09-30;2018-11-27;2020-11-25;27513000;28075000;1631000;12784000;8777000;-25970000;;;;;-2778000;-1111000;32032000;-54258000;-23337000;;;6575000;5827000;-20208000
DGII;6767763;USD;2019;FY;2019-09-30;2019-11-27;2021-11-24;27905000;28554000;9958000;13396000;4007000;1603000;;;;;28964000;761000;4750000;;5511000;;;5932000;1113000;34778000
DGII;6767763;USD;2020;FY;2020-09-30;2020-11-25;2022-11-23;28849000;29546000;8411000;19299000;8883000;-2115000;;;;;34478000;-899000;;-136098000;-136997000;;63125000;6967000;63603000;-38663000
DGII;6767763;USD;2021;FY;2021-09-30;2021-11-24;2023-11-22;32111000;33394000;10366000;20877000;11730000;14750000;;;;;57723000;-2257000;;-19108000;-21365000;;-15007000;83569000;62242000;98303000
DGII;6767763;USD;2022;FY;2022-09-30;2022-11-23;2023-11-22;35031000;35995000;19383000;37572000;-770000;-18445000;;;;;37740000;-1974000;;-347554000;-349528000;;188439000;11005000;192782000;-117532000
DGX;341807;USD;2018;FY;2018-12-31;2019-02-21;2021-02-22;136000000;139000000;788000000;309000000;152000000;-49000000;;;;;1200000000;-381000000;;-421000000;-801000000;-266000000;124000000;-223000000;-401000000;-2000000
DGX;341807;USD;2019;FY;2019-12-31;2020-02-20;2022-02-28;134000000;136000000;906000000;329000000;-27000000;35000000;;;;;1243000000;-309000000;;-58000000;-411000000;-286000000;832000000;-234000000;225000000;1057000000
DGX;341807;USD;2020;FY;2020-12-31;2021-02-22;2023-02-21;134000000;136000000;1499000000;361000000;123000000;22000000;;;;;2005000000;-418000000;;-330000000;-772000000;-297000000;-805000000;-136000000;-1267000000;-34000000
DGX;341807;USD;2021;FY;2021-12-31;2022-02-28;2024-02-22;123000000;125000000;2080000000;408000000;-342000000;87000000;;;;;2233000000;-403000000;;-331000000;21000000;-309000000;-2000000;-2070000000;-2540000000;-286000000
DGX;341807;USD;2022;FY;2022-12-31;2023-02-21;2024-02-22;116000000;118000000;1015000000;437000000;147000000;119000000;;;;;1718000000;-404000000;;-144000000;-543000000;-305000000;-2000000;-1285000000;-1732000000;-557000000
DHHC;10656656;USD;2020;FY;2020-12-31;2021-04-13;2022-04-13;43125000;43125000;-1892;;;1892;;;;;0;;;;;;130000;;16110;16110
DHHC;10656656;USD;2021;FY;2021-12-31;2022-04-13;2023-03-28;8541781;40572945;2708241;;-3939147;-159181;;;;;-1390087;;;;-345000000;;8770000;;346626578;236491
DHHC;10656656;USD;2022;FY;2022-12-31;2023-03-28;2024-03-15;8625000;8625000;69489294;355566;2222090;-37450228;;;;;34616722;-157877;;;-206877;;18315879;;18315879;52725724
DHI;378124;USD;2018;FY;2018-09-30;2018-10-01;2018-10-01;1254046648;1276690082;1460300000;62400000;-1753900000;776400000;;;;;545200000;-68100000;;-141700000;2600000;-188400000;-1964000000;-127500000;-82500000;465300000
DHI;378124;USD;2019;FY;2019-09-30;2019-10-01;2019-10-01;1240726981;1256710581;1618500000;72000000;-5845900000;5047500000;;;;;892100000;-127200000;;-311400000;-394000000;-223400000;-2434900000;-379100000;-490100000;8000000
DHI;378124;USD;2020;FY;2020-09-30;2020-10-01;2022-11-18;1217084572;1232735181;2380500000;90600000;-268200000;-324300000;;;;;1878600000;-157000000;;-9700000;-623100000;-256000000;906900000;-360400000;270600000;1526100000
DHI;378124;USD;2021;FY;2021-09-30;2021-10-01;2023-11-17;1197771055;1212089697;4191200000;82100000;-1606500000;-2132400000;;;;;534400000;-229800000;;-24500000;-252200000;-289300000;1077300000;-814900000;-85100000;197100000
DHI;378124;USD;2022;FY;2022-09-30;2022-11-18;2023-11-17;361100000;365800000;5895600000;81400000;-1198200000;-4217000000;;;;;561800000;-148200000;;-271500000;-414900000;-316500000;572500000;-1129800000;-811200000;-664300000
DHIL;7962818;USD;2018;FY;2018-12-31;2019-02-21;2021-02-25;3499285;3514540;46314388;1159380;-27713729;8370552;;;;;28130591;-781951;;;-4260897;-28094564;;-7229249;-16041743;7827951
DHIL;7962818;USD;2019;FY;2019-12-31;2020-02-27;2022-02-25;3436574;3436641;59754319;1164207;-11228930;7276647;;;;;56966243;-707790;;;10855074;-30275867;;-38749654;-59075123;8746194
DHIL;7962818;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;3214564;3214564;38165138;992836;13455209;7159302;;;;;59772485;-2450421;;;8411700;-37976714;;-18646982;-62882236;5301949
DHR;89750;USD;2018;FY;2018-12-31;2019-02-21;2021-02-25;700600000;710200000;2406000000;1178000000;-114000000;174000000;-55000000;-134000000;229000000;134000000;4022000000;-578000000;-124000000;-2173000000;-2949000000;-433000000;-442000000;96000000;-797000000;158000000
DHR;89750;USD;2019;FY;2019-12-31;2020-02-21;2022-02-23;715000000;725500000;2432000000;1189000000;-249000000;285000000;-157000000;-22000000;18000000;446000000;3952000000;-623000000;-241000000;-331000000;-1238000000;-527000000;13993000000;1573000000;16365000000;19124000000
DHR;89750;USD;2020;FY;2020-12-31;2021-02-25;2023-02-22;706200000;718700000;3646000000;1775000000;733000000;61000000;;;;;6208000000;37000000;-329000000;-20971000000;-21239000000;-615000000;-1900000000;1882000000;1006000000;-13877000000
DHR;89750;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;715100000;727000000;5447000000;2062000000;373000000;-459000000;;;;;8358000000;-1227000000;-799000000;-10901000000;-12987000000;-742000000;2063000000;86000000;1295000000;-3449000000
DHR;89750;USD;2022;FY;2022-12-31;2023-02-22;2024-02-21;714600000;736800000;6328000000;2132000000;-16000000;-831000000;;;;;8519000000;-1109000000;-505000000;-582000000;-2234000000;-818000000;-1688000000;31000000;-2570000000;3409000000
DHRM;1249011;USD;2018;FY;2018-12-31;2019-05-15;2021-03-31;25412000;25412000;-8910002000;827630000;883319000;3569486000;;;;;-3629567000;-775019000;;;-2543185000;;;17851000;17851000;-6332176000
DHRM;1249011;USD;2019;FY;2019-12-31;2020-05-15;2022-04-28;25412000;25412000;-16991000;10708000;-46606000;42812000;;;;;-10077000;38550000;;70515000;84682000;;-49693000;;-49693000;23868000
DHRM;1249011;USD;2020;FY;2020-12-31;2021-03-31;2023-04-27;25412000;25412000;30426000;9091000;10549000;34446000;;;;;84512000;-6024000;;;-5236000;;-1732000;;-1732000;77199000
DHRM;1249011;USD;2021;FY;2021-12-31;2022-04-28;2023-04-27;25412000;25412000;36262000;10838000;8698000;-109084000;;;;;-53286000;-13838000;;;-13838000;;502000;808000;12736000;-53416000
DHRM;1249011;USD;2022;FY;2022-12-31;2023-04-27;2023-04-27;25412000;25412000;-57429000;11021000;56657000;10231000;;;;;20480000;-9189000;5419000;;-3770000;;172000;2890000;1548000;19176000
DHT;6767607;USD;2018;FY;2018-12-31;2019-03-28;2021-03-25;143429610;143434921;-46927000;103476000;25505000;-18073000;;;;;63981000;46305000;-244872000;;-198158000;-11487000;168345000;-5026000;151832000;17655000
DHT;6767607;USD;2019;FY;2019-12-31;2020-03-25;2022-03-25;143437164;168159876;73680000;115584000;19345000;-52654000;;;;;155955000;-79000;-53803000;;-53369000;-28685000;-98243000;-3248000;-130176000;-27590000
DHT;6767607;USD;2020;FY;2020-12-31;2021-03-25;2023-03-23;155712886;170053975;266281000;124245000;30085000;109257000;;;;;529868000;-435000;-27117000;;-26717000;-214669000;-287200000;;-501869000;1282000
DHT;6767607;USD;2021;FY;2021-12-31;2022-03-25;2024-03-20;169089325;169089325;-11507000;128639000;-25033000;-31538000;;;;;60561000;87014000;-174558000;;-86513000;-22083000;72229000;-32178000;17968000;-7984000
DHT;6767607;USD;2022;FY;2022-12-31;2023-03-23;2024-03-20;164692954;164850091;61979000;123255000;-28893000;-28436000;;;;;127905000;112156000;-9902000;8267000;110519000;-19679000;-128907000;-24758000;-173344000;65080000
DHX;653310;USD;2018;FY;2018-12-31;2019-02-08;2021-02-10;48520000;49605000;7174000;9762000;6278000;-8296000;;;;;14918000;-10053000;;;7489000;;-25977000;;-27174000;-5596000
DHX;653310;USD;2019;FY;2019-12-31;2020-02-06;2022-02-11;48739000;51633000;12551000;9743000;8988000;-8359000;;;;;22923000;-14188000;;;-11505000;;-8000000;;-12423000;-1091000
DHX;653310;USD;2020;FY;2020-12-31;2021-02-10;2023-02-10;48278000;48278000;-30015000;12019000;43738000;-7059000;;;;;18683000;-16104000;;;-15904000;;10000000;;-542000;2259000
DHX;653310;USD;2021;FY;2021-12-31;2022-02-11;2024-02-08;45807000;45807000;-29742000;17118000;38459000;2746000;;;;;28581000;-14307000;;;-16109000;;3000000;;-15387000;-6100000
DHX;653310;USD;2022;FY;2022-12-31;2023-02-10;2024-02-08;44274000;46533000;4176000;17487000;6232000;8140000;;;;;36035000;-17976000;;;-17656000;;7000000;287000;-16913000;1466000
DIBS;12444327;USD;2020;FY;2020-12-31;2021-03-03;2023-03-03;16629401;16629401;-12528000;6023000;2266000;796000;;;;;-3443000;-44000;;;1286000;;;2010000;1562000;-609000
DIBS;12444327;USD;2021;FY;2021-12-31;2022-03-03;2024-02-29;26059744;26059744;-20963000;3112000;4435000;9015000;;;;;-4401000;-129000;;;-2269000;;;125722000;120050000;113364000
DIBS;12444327;USD;2022;FY;2022-12-31;2023-03-03;2024-02-29;38479437;38479437;-22538000;2710000;5357000;-13443000;;;;;-27914000;-93000;;;12641000;;;2035000;2035000;-13516000
DICE;11795052;USD;2020;FY;2020-12-31;2021-02-12;2022-03-28;7551128;7551128;-23739000;697000;700000;1663000;;;;;-20679000;-148000;18151000;;18003000;;54226000;;53895000;51219000
DICE;11795052;USD;2021;FY;2021-12-31;2022-02-11;2023-03-15;12384015;12384015;-48959000;661000;7359000;1647000;;;;;-39292000;-718000;-203906000;;-204624000;;85592000;214707000;300254000;56338000
DICE;11795052;USD;2022;FY;2022-12-31;2023-03-15;2023-03-15;39401106;39401106;-83887000;825000;16097000;2643000;;;;;-64322000;-2237000;89724000;;87487000;;-2644000;325122000;322252000;345417000
DIN;545516;USD;2018;FY;2018-12-31;2019-02-21;2021-03-02;17533000;17789000;80354000;32175000;2957000;24860000;;;;;140346000;-13624000;;-20155000;-14801000;-51125000;-1907000;-29675000;-88312000;37233000
DIN;545516;USD;2019;FY;2019-12-31;2020-02-24;2022-03-02;16934000;17245000;104346000;42493000;14544000;-6203000;;;;;155180000;-16884000;;;-153000;-46859000;-22389000;-97729000;-182931000;-27904000
DIN;545516;USD;2020;FY;2020-12-31;2021-03-02;2023-03-01;16230000;16230000;-103994000;42829000;128481000;29187000;;;;;96503000;-10390000;;;18725000;-23934000;216750000;-9330000;168350000;283578000
DIN;545516;USD;2021;FY;2021-12-31;2022-03-02;2024-02-28;16911000;16971000;97864000;39885000;18136000;39950000;;;;;195835000;-15903000;;;3861000;;-229750000;21146000;-230396000;-30700000
DIN;545516;USD;2022;FY;2022-12-31;2023-03-01;2024-02-28;15873000;15901000;81111000;37952000;13307000;-43034000;;;;;89336000;-18290000;;-78264000;-80904000;-30765000;61232000;-120211000;-108801000;-100369000
DINO;13992941;USD;2021;FY;2021-12-31;2022-02-28;2024-02-21;162569000;162569000;663254000;503539000;-261976000;-279539000;;;;;625278000;-921483000;;-624332000;-1545815000;-57663000;-77490000;-7058000;-211803000;-1133874000
DINO;13992941;USD;2022;FY;2022-12-31;2023-02-28;2024-02-21;202566000;202566000;3041174000;656787000;173557000;61023000;;;;;3932541000;-665422000;;-264448000;-929870000;-255928000;174867000;-1371700000;-1560759000;1430622000
DIOD;6481047;USD;2018;FY;2018-12-31;2019-02-21;2021-02-22;49841000;50935000;105406000;104644000;21961000;-46445000;;;;;185566000;-87078000;;-41000;-88944000;;-49265000;4862000;-51911000;36633000
DIOD;6481047;USD;2019;FY;2019-12-31;2020-02-12;2022-02-18;50787000;51860000;154115000;109584000;6344000;-40271000;;;;;229772000;-69139000;;-33028000;-100426000;;-115810000;11901000;-112432000;17674000
DIOD;6481047;USD;2020;FY;2020-12-31;2021-02-22;2023-02-10;51004000;52133000;99229000;108007000;11429000;-31445000;;;;;187220000;-75581000;-6131000;-24593000;-106772000;;248192000;-289875000;-54302000;61022000
DIOD;6481047;USD;2021;FY;2021-12-31;2022-02-18;2024-02-09;44772000;45781000;236288000;122435000;19004000;-39184000;;;;;338543000;-137988000;-15106000;-157000;-144229000;;-152920000;4337000;-158441000;46289000
DIOD;6481047;USD;2022;FY;2022-12-31;2023-02-10;2024-02-09;45330000;46036000;339255000;127759000;6595000;-81108000;;;;;392501000;-211310000;-4051000;-83979000;-265263000;;-112271000;140000;-125713000;-25719000
